id,name,category,region,latitude,longitude,is_endangered,is_transnational,iso_code,date_inscribed
786,Palace and Gardens of Schönbrunn,Cultural,,,,0,0,at,1996
1033,Historic Centre of Vienna,Cultural,,,,0,0,at,2001
931,City of Graz – Historic Centre and Schloss Eggenberg,Cultural,,,,0,0,at,1999
806,Hallstatt-Dachstein / Salzkammergut Cultural Landscape,Cultural,,,,0,0,at,1997
970,Wachau Cultural Landscape,Cultural,,,,0,0,at,2000
958,Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,Cultural,,,,1,0,az,2000
1076,Gobustan Rock Art Cultural Landscape,Cultural,,,,0,0,az,2007
1549,Historic Centre of Sheki with the Khan’s Palace,Cultural,,,,0,0,az,2019
1696,Cultural Landscape of Khinalig People and “Köç Yolu” Transhumance Route,Cultural,,,,0,0,az,2023
1364,"Pearling, Testimony of an Island Economy",Cultural,,,,0,0,bh,2012
1192,Qal’at al-Bahrain – Ancient Harbour and Capital of Dilmun,Cultural,,,,0,0,bh,2005
1542,Dilmun Burial Mounds,Cultural,,,,0,0,bh,2019
321,Historic Mosque City of Bagerhat,Cultural,,,,0,0,bd,1985
322,Ruins of the Buddhist Vihara at Paharpur,Cultural,,,,0,0,bd,1985
798,The Sundarbans,Natural,,,,0,0,bd,1997
1376,Historic Bridgetown and its Garrison,Cultural,,,,0,0,bb,2011
625,Mir Castle Complex,Cultural,,,,0,0,by,2000
1196,"Architectural, Residential and Cultural Complex of the Radziwill Family at Nesvizh",Cultural,,,,0,0,by,2005
855,Flemish Béguinages,Cultural,,,,0,0,be,1998
856,"The Four Lifts on the Canal du Centre and their Environs, La Louvière and Le Roeulx (Hainaut)",Cultural,,,,0,0,be,1998
857,"La Grand-Place, Brussels",Cultural,,,,0,0,be,1998
996,Historic Centre of Brugge,Cultural,,,,0,0,be,2000
1005,Major Town Houses of the Architect Victor Horta (Brussels),Cultural,,,,0,0,be,2000
1006,Neolithic Flint Mines at Spiennes (Mons),Cultural,,,,0,0,be,2000
1009,Notre-Dame Cathedral in Tournai,Cultural,,,,0,0,be,2000
1185,Plantin-Moretus House-Workshops-Museum Complex,Cultural,,,,0,0,be,2005
1298,Stoclet House,Cultural,,,,0,0,be,2009
1344,Major Mining Sites of Wallonia,Cultural,,,,0,0,be,2012
764,Belize Barrier Reef Reserve System,Natural,,,,1,0,bz,1996
323,Royal Palaces of Abomey,Cultural,,,,0,0,bj,1985
529,Jesuit Missions of the Chiquitos,Cultural,,,,0,0,bo,1990
566,Historic City of Sucre,Cultural,,,,0,0,bo,1991
567,Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,Cultural,,,,0,0,bo,2000
883,Fuerte de Samaipata,Cultural,,,,0,0,bo,1998
967,Noel Kempff Mercado National Park,Natural,,,,0,0,bo,2000
420,City of Potosí,Cultural,,,,1,0,bo,1987
946,Old Bridge Area of the Old City of Mostar,Cultural,,,,0,0,ba,2005
1260,Mehmed Paša Sokolović Bridge in Višegrad,Cultural,,,,0,0,ba,2007
1673,"Vjetrenica Cave, Ravno",Natural,,,,0,0,ba,2024
1021,Tsodilo,Cultural,,,,0,0,bw,2001
1432,Okavango Delta,Natural,,,,0,0,bw,2014
124,Historic Town of Ouro Preto,Cultural,,,,0,0,br,1980
189,Historic Centre of the Town of Olinda,Cultural,,,,0,0,br,1982
309,Historic Centre of Salvador de Bahia,Cultural,,,,0,0,br,1985
334,Sanctuary of Bom Jesus do Congonhas,Cultural,,,,0,0,br,1985
355,Iguaçu National Park,Natural,,,,1,0,br,1986
445,Brasilia,Cultural,,,,0,0,br,1987
